Sample	Tool	Contamination	> 50% completeness	> 70% completeness	> 90% completeness
sample_0	CONCOCT_GTDB	< 10%	51	42	31
sample_0	CONCOCT_GTDB	< 5%	46	39	29
sample_0	DAS Tool_GTDB	< 10%	54	50	38
sample_0	DAS Tool_GTDB	< 5%	51	47	36
sample_0	Gold standard	< 10%	589	589	589
sample_0	Gold standard	< 5%	589	589	589
sample_0	MetaBat2_GTDB	< 10%	45	41	30
sample_0	MetaBat2_GTDB	< 5%	43	39	30
sample_0	SemiBin_GTDB	< 10%	58	50	37
sample_0	SemiBin_GTDB	< 5%	57	49	37
sample_1	CONCOCT_GTDB	< 10%	46	40	28
sample_1	CONCOCT_GTDB	< 5%	42	38	28
sample_1	DAS Tool_GTDB	< 10%	58	56	43
sample_1	DAS Tool_GTDB	< 5%	51	51	43
sample_1	Gold standard	< 10%	620	620	620
sample_1	Gold standard	< 5%	620	620	620
sample_1	MetaBat2_GTDB	< 10%	49	44	34
sample_1	MetaBat2_GTDB	< 5%	44	43	34
sample_1	SemiBin_GTDB	< 10%	63	58	43
sample_1	SemiBin_GTDB	< 5%	57	54	42
sample_2	CONCOCT_GTDB	< 10%	52	44	32
sample_2	CONCOCT_GTDB	< 5%	43	36	26
sample_2	DAS Tool_GTDB	< 10%	57	52	35
sample_2	DAS Tool_GTDB	< 5%	51	48	34
sample_2	Gold standard	< 10%	600	600	600
sample_2	Gold standard	< 5%	600	600	600
sample_2	MetaBat2_GTDB	< 10%	49	39	31
sample_2	MetaBat2_GTDB	< 5%	44	36	29
sample_2	SemiBin_GTDB	< 10%	60	47	35
sample_2	SemiBin_GTDB	< 5%	55	44	33
sample_3	CONCOCT_GTDB	< 10%	47	40	30
sample_3	CONCOCT_GTDB	< 5%	40	35	26
sample_3	DAS Tool_GTDB	< 10%	52	49	33
sample_3	DAS Tool_GTDB	< 5%	48	46	31
sample_3	Gold standard	< 10%	792	792	792
sample_3	Gold standard	< 5%	792	792	792
sample_3	MetaBat2_GTDB	< 10%	44	39	29
sample_3	MetaBat2_GTDB	< 5%	42	38	29
sample_3	SemiBin_GTDB	< 10%	56	52	34
sample_3	SemiBin_GTDB	< 5%	55	51	33
sample_4	CONCOCT_GTDB	< 10%	50	43	36
sample_4	CONCOCT_GTDB	< 5%	39	33	29
sample_4	DAS Tool_GTDB	< 10%	51	49	42
sample_4	DAS Tool_GTDB	< 5%	47	45	40
sample_4	Gold standard	< 10%	581	581	581
sample_4	Gold standard	< 5%	581	581	581
sample_4	MetaBat2_GTDB	< 10%	43	41	32
sample_4	MetaBat2_GTDB	< 5%	39	38	32
sample_4	SemiBin_GTDB	< 10%	54	51	42
sample_4	SemiBin_GTDB	< 5%	54	51	42
sample_5	CONCOCT_GTDB	< 10%	46	38	27
sample_5	CONCOCT_GTDB	< 5%	38	31	22
sample_5	DAS Tool_GTDB	< 10%	55	51	38
sample_5	DAS Tool_GTDB	< 5%	49	45	35
sample_5	Gold standard	< 10%	660	660	660
sample_5	Gold standard	< 5%	660	660	660
sample_5	MetaBat2_GTDB	< 10%	42	39	31
sample_5	MetaBat2_GTDB	< 5%	39	36	30
sample_5	SemiBin_GTDB	< 10%	54	48	38
sample_5	SemiBin_GTDB	< 5%	51	45	36
sample_6	CONCOCT_GTDB	< 10%	43	41	27
sample_6	CONCOCT_GTDB	< 5%	39	38	25
sample_6	DAS Tool_GTDB	< 10%	59	58	39
sample_6	DAS Tool_GTDB	< 5%	51	51	37
sample_6	Gold standard	< 10%	665	665	665
sample_6	Gold standard	< 5%	665	665	665
sample_6	MetaBat2_GTDB	< 10%	47	43	32
sample_6	MetaBat2_GTDB	< 5%	43	40	32
sample_6	SemiBin_GTDB	< 10%	71	53	39
sample_6	SemiBin_GTDB	< 5%	61	48	37
sample_7	CONCOCT_GTDB	< 10%	40	36	27
sample_7	CONCOCT_GTDB	< 5%	37	34	27
sample_7	DAS Tool_GTDB	< 10%	58	55	41
sample_7	DAS Tool_GTDB	< 5%	55	53	39
sample_7	Gold standard	< 10%	590	590	590
sample_7	Gold standard	< 5%	590	590	590
sample_7	MetaBat2_GTDB	< 10%	43	40	32
sample_7	MetaBat2_GTDB	< 5%	42	39	32
sample_7	SemiBin_GTDB	< 10%	60	55	42
sample_7	SemiBin_GTDB	< 5%	57	53	40
sample_8	CONCOCT_GTDB	< 10%	42	33	21
sample_8	CONCOCT_GTDB	< 5%	36	28	18
sample_8	DAS Tool_GTDB	< 10%	42	37	28
sample_8	DAS Tool_GTDB	< 5%	36	33	26
sample_8	Gold standard	< 10%	704	704	704
sample_8	Gold standard	< 5%	704	704	704
sample_8	MetaBat2_GTDB	< 10%	32	29	20
sample_8	MetaBat2_GTDB	< 5%	31	28	20
sample_8	SemiBin_GTDB	< 10%	49	36	27
sample_8	SemiBin_GTDB	< 5%	41	33	26
sample_9	CONCOCT_GTDB	< 10%	46	38	27
sample_9	CONCOCT_GTDB	< 5%	39	32	26
sample_9	DAS Tool_GTDB	< 10%	58	53	41
sample_9	DAS Tool_GTDB	< 5%	54	49	39
sample_9	Gold standard	< 10%	558	558	558
sample_9	Gold standard	< 5%	558	558	558
sample_9	MetaBat2_GTDB	< 10%	49	47	31
sample_9	MetaBat2_GTDB	< 5%	45	43	31
sample_9	SemiBin_GTDB	< 10%	61	55	39
sample_9	SemiBin_GTDB	< 5%	59	53	37
